Date : 2023-12-08 14:13:41
Directory : d:\Code\PAD\SI-Lab-TRPL
Total : 223 files,  19447 codes, 1987 comments, 1843 blanks, all 23277 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\LabAdministrator.php                                               | PHP        |         24 |          0 |          9 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\LabReserve.php                                                     | PHP        |         20 |          0 |          7 |         27 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Laboratorium.php                                                   | PHP        |         23 |          0 |          9 |         32 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\LectureSchedule.php                                                | PHP        |         34 |          0 |         11 |         45 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Project.php                                                        | PHP        |         30 |          0 |          9 |         39 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\ProjectField.php                                                   | PHP        |         22 |          0 |          5 |         27 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\ProjectHistory.php                                                 | PHP        |         22 |          0 |          8 |         30 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Reserve.php                                                        | PHP        |         26 |          0 |          6 |         32 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Software.php                                                       | PHP        |         15 |          0 |          6 |         21 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\SoftwareLab.php                                                    | PHP        |         19 |          0 |          8 |         27 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\Subject.php                                                        | PHP        |         22 |          0 |          9 |         31 |
| d:\Code\PAD\SI-Lab-TRPL\app\Models\User.php                                                           | PHP        |         43 |         16 |         10 |         69 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\AnnouncementPolicy.php                                           | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\AssistantLecturerPolicy.php                                      | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\AttendancePolicy.php                                             | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\FieldPolicy.php                                                  | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\InventoryPolicy.php                                              | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\LabAdministratorPolicy.php                                       | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\LabReservePolicy.php                                             | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\LaboratoriumPolicy.php                                           | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\LectureSchedulePolicy.php                                        | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectFieldPolicy.php                                           | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectHistoryPolicy.php                                         | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\ProjectPolicy.php                                                | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\ReservePolicy.php                                                | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\SoftwarePolicy.php                                               | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\SubjectPolicy.php                                                | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Policies\SubjectsPolicy.php                                               | PHP        |         29 |         28 |         10 |         67 |
| d:\Code\PAD\SI-Lab-TRPL\app\Providers\AppServiceProvider.php                                          | PHP        |         14 |          7 |          5 |         26 |
| d:\Code\PAD\SI-Lab-TRPL\app\Providers\AuthServiceProvider.php                                         | PHP        |         11 |         11 |          5 |         27 |
| d:\Code\PAD\SI-Lab-TRPL\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          3 |          5 |         20 |
| d:\Code\PAD\SI-Lab-TRPL\app\Providers\EventServiceProvider.php                                        | PHP        |         21 |         12 |          6 |         39 |
| d:\Code\PAD\SI-Lab-TRPL\app\Providers\RouteServiceProvider.php                                        | PHP        |         24 |         10 |          7 |         41 |
| d:\Code\PAD\SI-Lab-TRPL\bootstrap\app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| d:\Code\PAD\SI-Lab-TRPL\composer.json                                                                 | JSON       |         67 |          0 |          1 |         68 |
| d:\Code\PAD\SI-Lab-TRPL\composer.lock                                                                 | JSON       |      8,236 |          0 |          1 |      8,237 |
| d:\Code\PAD\SI-Lab-TRPL\config\app.php                                                                | PHP        |         27 |        131 |         31 |        189 |
| d:\Code\PAD\SI-Lab-TRPL\config\auth.php                                                               | PHP        |         36 |         74 |         14 |        124 |
| d:\Code\PAD\SI-Lab-TRPL\config\broadcasting.php                                                       | PHP        |         36 |         23 |         13 |         72 |
| d:\Code\PAD\SI-Lab-TRPL\config\cache.php                                                              | PHP        |         59 |         34 |         19 |        112 |
| d:\Code\PAD\SI-Lab-TRPL\config\cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| d:\Code\PAD\SI-Lab-TRPL\config\database.php                                                           | PHP        |         83 |         47 |         22 |        152 |
| d:\Code\PAD\SI-Lab-TRPL\config\filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| d:\Code\PAD\SI-Lab-TRPL\config\hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| d:\Code\PAD\SI-Lab-TRPL\config\logging.php                                                            | PHP        |         79 |         34 |         19 |        132 |
| d:\Code\PAD\SI-Lab-TRPL\config\mail.php                                                               | PHP        |         54 |         53 |         19 |        126 |
| d:\Code\PAD\SI-Lab-TRPL\config\queue.php                                                              | PHP        |         51 |         42 |         17 |        110 |
| d:\Code\PAD\SI-Lab-TRPL\config\sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| d:\Code\PAD\SI-Lab-TRPL\config\services.php                                                           | PHP        |         17 |         11 |          7 |         35 |
| d:\Code\PAD\SI-Lab-TRPL\config\session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| d:\Code\PAD\SI-Lab-TRPL\config\view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\AnnouncementFactory.php                                    | PHP        |         14 |          8 |          4 |         26 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\AssistantLecturerFactory.php                               | PHP        |         11 |          8 |          5 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\AttendanceFactory.php                                      | PHP        |         11 |          8 |          4 |         23 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\FieldFactory.php                                           | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\InventoryFactory.php                                       | PHP        |         17 |          8 |          4 |         29 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\LabAdministratorFactory.php                                | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\LabReserveFactory.php                                      | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\LaboratoriumFactory.php                                    | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\LectureScheduleFactory.php                                 | PHP        |         12 |         20 |          9 |         41 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\ProjectFactory.php                                         | PHP        |         19 |          8 |          4 |         31 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\ProjectFieldFactory.php                                    | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\ProjectHistoryFactory.php                                  | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\ReserveFactory.php                                         | PHP        |         11 |          8 |          5 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\SoftwareFactory.php                                        | PHP        |         13 |          8 |          4 |         25 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\SoftwareLabFactory.php                                     | PHP        |         13 |          8 |          4 |         25 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\SubjectFactory.php                                         | PHP        |         11 |          9 |          4 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\database\factories\UserFactory.php                                            | PHP        |         23 |         11 |          5 |         39 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP        |         24 |          6 |          4 |         34 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php  | PHP        |         19 |          6 |          4 |         29 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |          6 |          4 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |          6 |          4 |         34 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_110504_create_subjects_table.php               | PHP        |         20 |          6 |          5 |         31 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_110739_create_laboratorium_table.php           | PHP        |         23 |          6 |          4 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_110908_create_lab_administrators_table.php     | PHP        |         26 |          6 |          4 |         36 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_110942_create_lecture_schedules_table.php      | PHP        |         27 |          6 |         10 |         43 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_111844_create_software_table.php               | PHP        |         20 |          6 |          4 |         30 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_112004_create_software_lab_table.php           | PHP        |         20 |          7 |          6 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_112837_create_assistant_lecturers_table.php    | PHP        |         23 |          6 |          7 |         36 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_113847_create_attendances_table.php            | PHP        |         24 |          6 |          7 |         37 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_114447_create_projects_table.php               | PHP        |         26 |          6 |          6 |         38 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_114623_create_project_histories_table.php      | PHP        |         21 |          6 |          7 |         34 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_115037_create_fields_table.php                 | PHP        |         19 |          6 |          4 |         29 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_09_20_115123_create_project_fields_table.php         | PHP        |         21 |          6 |          6 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_170618_create_announcements_table.php          | PHP        |         22 |          6 |          6 |         34 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_171126_create_reserves_table.php               | PHP        |         25 |          6 |          7 |         38 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_08_171235_create_lab_reserves_table.php           | PHP        |         23 |          6 |         10 |         39 |
| d:\Code\PAD\SI-Lab-TRPL\database\migrations\2023_10_27_160507_create_inventories_table.php            | PHP        |         25 |          6 |          7 |         38 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\AnnouncementSeeder.php                                       | PHP        |         12 |          3 |          4 |         19 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\AssistantLecturerSeeder.php                                  | PHP        |         27 |          3 |          6 |         36 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\AttendanceSeeder.php                                         | PHP        |         24 |          3 |          5 |         32 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\DatabaseSeeder.php                                           | PHP        |         26 |          4 |          5 |         35 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\FieldSeeder.php                                              | PHP        |         40 |          3 |          5 |         48 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\InventorySeeder.php                                          | PHP        |         12 |          3 |          4 |         19 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\LabAdministratorSeeder.php                                   | PHP        |         34 |          3 |          6 |         43 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\LabReserveSeeder.php                                         | PHP        |         24 |          3 |          5 |         32 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\LaboratoriumSeeder.php                                       | PHP        |         61 |          3 |          5 |         69 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\LectureScheduleSeeder.php                                    | PHP        |         75 |          3 |          5 |         83 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectFieldSeeder.php                                       | PHP        |         36 |          3 |          5 |         44 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectHistorySeeder.php                                     | PHP        |         36 |          3 |          5 |         44 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\ProjectSeeder.php                                            | PHP        |         12 |          3 |          4 |         19 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\ReserveSeeder.php                                            | PHP        |         31 |          3 |          5 |         39 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\SoftwareLabSeeder.php                                        | PHP        |         12 |          3 |          4 |         19 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\SoftwareSeeder.php                                           | PHP        |         12 |          3 |          4 |         19 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\SubjectSeeder.php                                            | PHP        |         36 |          3 |          5 |         44 |
| d:\Code\PAD\SI-Lab-TRPL\database\seeders\UserSeeder.php                                               | PHP        |         58 |          3 |          5 |         66 |
| d:\Code\PAD\SI-Lab-TRPL\package-lock.json                                                             | JSON       |      1,766 |          0 |          1 |      1,767 |
| d:\Code\PAD\SI-Lab-TRPL\package.json                                                                  | JSON       |         17 |          0 |          1 |         18 |
| d:\Code\PAD\SI-Lab-TRPL\phpunit.xml                                                                   | XML        |         29 |          2 |          1 |         32 |
| d:\Code\PAD\SI-Lab-TRPL\postcss.config.js                                                             | JavaScript |          6 |          0 |          1 |          7 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\css\grid.css                                                    | PostCSS    |         39 |          4 |          7 |         50 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\css\navbar.css                                                  | PostCSS    |          0 |          0 |          1 |          1 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\css\slider.css                                                  | PostCSS    |         65 |          0 |          9 |         74 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\css\style.css                                                   | PostCSS    |         25 |          3 |          5 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\asisten.svg                                | XML        |          3 |          0 |          1 |          4 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\beranda.svg                                | XML        |          6 |          0 |          1 |          7 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\inventaris.svg                             | XML        |         10 |          0 |          1 |         11 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\jadwal.svg                                 | XML        |          4 |          0 |          1 |          5 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\logout.svg                                 | XML        |          4 |          0 |          1 |          5 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\peminjaman.svg                             | XML        |          3 |          0 |          1 |          4 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\profile.svg                                | XML        |          3 |          0 |          1 |          4 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\dashboard\layout\proyek.svg                                 | XML        |          3 |          0 |          1 |          4 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\img\page\about\penguin.svg                                      | XML        |         34 |          1 |          0 |         35 |
| d:\Code\PAD\SI-Lab-TRPL\public\assets\js\notif.js                                                     | JavaScript |          6 |          1 |          0 |          7 |
| d:\Code\PAD\SI-Lab-TRPL\public\index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| d:\Code\PAD\SI-Lab-TRPL\resources\css\app.css                                                         | PostCSS    |         16 |          3 |          5 |         24 |
| d:\Code\PAD\SI-Lab-TRPL\resources\js\app.js                                                           | JavaScript |          3 |          0 |          3 |          6 |
| d:\Code\PAD\SI-Lab-TRPL\resources\js\bootstrap.js                                                     | JavaScript |          3 |         23 |          7 |         33 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\create.blade.php                       | PHP        |         23 |          0 |          3 |         26 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\index.blade.php                        | PHP        |         69 |          0 |         20 |         89 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\announcement\show.blade.php                         | PHP        |         37 |          0 |          8 |         45 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\attendance.blade.php                      | PHP        |         91 |          0 |          5 |         96 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\create.blade.php                          | PHP        |         44 |          0 |          1 |         45 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\edit.blade.php                            | PHP        |         48 |          0 |          2 |         50 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\history.blade.php                         | PHP        |         60 |          0 |          1 |         61 |
| d:\Code\PAD\SI-Lab-TRPL\resources\views\dashboard\assistant\historyLaboran.blade.php                  | PHP        |          6 |          0 |          2 |          8 |
